child_id,total_count_skin,number_taxa_skin,inverse_simpson_skin
01A01,8026,150,31.582189510759676
01A02,37783,269,12.070104630790256
01A03,45515,313,15.929647095318714
01A04,37767,398,13.344775327934428
01A05,28737,117,1.6868053472577476
01A06,23804,234,29.03491781550668
01A07,37657,756,61.71354805617616
01A08,12711,167,7.1316481341991516
01A09,44931,287,14.277376560468513
01A10,51560,280,40.215664820043074
01A11,55409,275,19.67583461463773
01A12,27194,356,21.45106532235121
01A13,14224,233,28.16272960618259
01B01,12372,248,64.9456534560288
01B02,17831,110,7.070635691378229
01B03,31845,343,37.49509313894281
01B04,25665,251,19.76946630364692
01B05,33770,139,5.089603227518151
01B06,22709,230,21.784020870809695
01B08,10610,137,14.60634196912705
01B09,1903,84,29.94904853662369
01B10,26430,256,14.85573025140022
01B11,37786,309,19.43590448934825
01B12,46097,378,44.15425951620085
01B13,2508,78,11.88890694993101
02A04,17083,172,21.315286594662023
02A06,19179,251,27.404170531739968
02A07,21387,164,17.98999062317813
02A08,43698,193,13.955172149033652
03A02,32547,255,21.674115653300724
03A04,19887,209,20.29190445955462
03A05,35666,216,22.92019787647049
03A06,24578,263,22.962640204149498
03A08,14362,167,11.63585168580956
03A09,37779,201,10.62618485075584
03A10,26063,315,36.24725857682759
03A11,8272,176,21.997100314336212
03A12,23806,276,9.932407233900468
03A13,1034,26,3.5761792310831333
03A14,30426,272,21.7990314947866
03A15,7651,135,26.755844433647447
03A16,34459,119,7.712212893694242
03A17,7867,188,13.940999923187835
03A18,16846,167,11.394632309653824
03B01,10251,146,19.21183644224794
03B03,45857,438,38.32257681871165
03B04,28039,282,22.76405482595702
03B05,4105,141,17.787745463873016
03B06,24492,265,22.68328151372009
03B07,9748,251,33.320676010979774
03B08,51952,323,31.328902235510032
03B09,18912,211,33.32388057865885
03B11,29434,344,15.962979596263326
03B12,60051,266,13.380926256114844
03B13,11561,208,20.191493199517723
03B14,34666,522,21.242053856286933
03B15,32334,172,12.240545994560009
03B16,24460,118,19.31052548476458
04A01,67284,243,26.80764851057068
04A03,36709,274,19.051902981659836
04A04,39521,278,8.898098739199042
04A05,9640,133,15.180963483197464
04A06,39294,359,16.012836707355383
04A07,24957,312,20.03740096780826
04A08,37971,422,20.630735553441728
04A09,31852,293,36.706263969492575
05A01,49150,223,15.045591573112215
05A02,41977,247,18.846216893701445
05A03,44295,210,9.293039161856164
05A04,14548,232,40.566070327147855
05A05,40796,227,22.996108144687017
05A06,54662,351,44.37140425190171
05A07,28174,164,11.074172574292556
05A08,23795,280,21.29874982202517
05A09,37911,193,6.840971018839679
05A10,76268,377,19.42780237155407
05A11,314283,918,30.269794347009537
06A01,31684,513,22.382986184689784
06A03,29311,321,20.954410839853526
06A04,60032,219,7.844401547344682
06A05,7484,145,11.614158716571865
06A06,31823,212,12.289780953911777
06A07,41958,373,21.824578895881757
06A08,13214,197,11.730846067686276
06A09,26999,191,16.97785532374964
06A10,32965,495,20.9792799413587
06A12,12942,263,26.71243641068055
06A13,29081,315,27.639583507026224
07A02,58271,322,28.92224762351224
07A03,25189,155,3.92028224764373
07A04,24388,204,2.933712773794001
07A06,35109,343,22.652845525063668
07A07,21258,189,14.37876160460342
07A08,22820,162,8.846493264532764
07A09,17841,258,6.973658780533926
07A10,30305,393,6.467612217533395
07A11,36925,322,28.80905623510071
07A13,30015,547,19.883137873978193
07A14,28094,156,8.235603720371337
07A16,62687,212,10.80269744373884
