school_id,invsimpson_dust,invsimpson_plant,invsimpson_soil,obs_dust,obs_plant,obs_soil
01,116.92898940692542,12.999427862531885,121.33387447248994,498,56.666666666666664,775.5
02,50.66201626282354,26.948800783162017,196.07839681796253,387,77,801
03,51.61930457762753,3.7211256209327614,182.68337561993303,522,42,841
04,82.90904400361305,21.905683266026845,114.62563058014824,512,86.66666666666667,607
05,67.87184812773437,3.3527376544752765,86.62121898381413,309,16.666666666666668,794
06,NA,12.41859136561802,180.58031520284757,NA,97.33333333333331,908.3333333333334
07,332.0562563606631,19.605558660250814,121.6991849009068,1052,234.66666666666663,804
08,7.997938406030933,33.13689377347089,160.81844995326804,433,126,740
10,NA,NA,245.495516366812,NA,NA,980
12,388.3772219059339,28.915256866620563,296.0711713720401,968,116.33333333333331,961.5
13,213.4500827632556,32.10117438592988,228.07759570046971,598,116,794.5
14,NA,14.026535058969982,127.45513561619008,NA,179.66666666666666,432
15,57.23923347263657,12.11223477327032,265.4651989509658,411,72.5,976.5
16,362.338683291745,31.303678882859263,166.89571339335896,1027,71,773
17,39.94592310221198,16.164508161447895,221.22849790169025,578,61.333333333333336,783
18,NA,15.79495943731702,187.48189140536005,NA,58,927
19,25.926166781395388,39.439918812948925,202.92402425846987,311,76,704
20,258.8813091862026,24.26948715058506,226.4541024028868,704,312,1067.5
21,129.39282112084112,19.851542833273193,121.51096721851044,717,63.333333333333336,733
23,NA,8.801496771240146,149.90849835067522,NA,124.66666666666669,687
24,49.573146485531495,15.244424772659707,240.13072715963503,181,49.5,682.5
25,66.7980522301962,13.8253100816995,88.27317291747848,524.5,100.33333333333331,815
26,99.40794191325836,32.23625583090623,238.06207512789888,603,141.66666666666666,981.5
28,138.70082854335138,19.668842196527745,188.8082343533204,524,83,1087.5
29,111.28584089188818,28.95218942840568,229.63135594658013,641,241.33333333333337,1047
30,224.3797006280123,19.69933192215892,NA,807.3333333333334,74,NA
32,232.20537349794012,17.61936830124253,315.65566326655613,885,40,879
33,110.18389579643149,16.32141210564447,160.86367519571053,478,65,741.5
34,92.9308417788102,20.33254465777215,44.2756614917014,822,86.66666666666667,319.5
35,81.20764503515204,10.486899123531176,236.6760401966489,503.5,78,904
37,85.56808413384057,25.27938488668905,182.99484510017643,420,107,817
