school_id,sample_id,sample_type,sample_weather,sample_date,remarks,weightnetto_seq_mg,isolates,libmcb,lib_size,nonbacterial,number_taxa,inverse_simpson
01,s138,plant,norain,2022-05-05,NA,125.6,x,19473,959,0.9507523237302932,51,8.982224653038902
01,s139,plant,norain,2022-05-05,NA,153.3,NA,7367,1348,0.8170218542147414,69,14.735346589250382
01,s140,plant,norain,2022-05-05,NA,120.6,NA,11287,675,0.940196686453442,50,15.28071234530637
01,s141,sand,norain,2022-05-05,NA,128.5,NA,33378,33282,0.00287614596440769,605,29.524684498998223
01,s142,dirt,norain,2022-05-05,NA,126.3,NA,29275,28402,0.02982066609735269,946,213.14306444598165
01,s143,dust,norain,2022-05-05,NA,113.4,x,35994,21223,0.41037395121409126,498,116.92898940692542
10,s144,plant,norain,2022-05-06,NA,123.9,NA,509,5,0.9901768172888016,1,1
10,s145,plant,norain,2022-05-06,NA,175.8,NA,1636,205,0.8746943765281173,26,15.433345574733751
10,s146,plant,norain,2022-05-06,NA,163.3,NA,936,231,0.7532051282051282,18,5.644874642970486
10,s147,sand,norain,2022-05-06,NA,403.9,NA,44224,43448,0.01754703328509406,1017,137.66227989830196
10,s148,dirt,norain,2022-05-06,NA,130.9,NA,25314,24871,0.01750019751915936,943,353.328752835322
12,s150,plant,norain,2022-05-13,NA,291.3,NA,2297,1509,0.34305616020896823,96,30.383361131496432
12,s151,plant,norain,2022-05-13,NA,254.9,NA,9696,2082,0.7852722772277227,93,12.653911723493696
12,s152,plant,norain,2022-05-13,NA,234.6,NA,5895,3023,0.4871925360474979,160,43.70849774487156
12,s153,sand,norain,2022-05-13,NA,243.3,NA,34569,33225,0.03887876421070901,1103,428.9146452956766
12,s154,dirt,norain,2022-05-13,NA,160.4,NA,31736,31512,0.00705823040080665,820,163.2276974484036
12,s155,dust,norain,2022-05-13,NA,263.4,NA,34450,33264,0.0344267053701016,968,388.3772219059339
13,s156,plant,rain,2022-05-18,NA,216.1,NA,17965,2226,0.8760924018925689,127,45.591586618085465
13,s157,plant,rain,2022-05-18,NA,221.8,NA,9557,3527,0.6309511352935021,146,34.24969507746271
13,s158,plant,rain,2022-05-18,NA,305.3,NA,15202,740,0.951322194448099,75,16.46224146224146
13,s159,dirt,rain,2022-05-18,NA,312.8,NA,21603,19696,0.08827477665139101,693,244.18321967603575
13,s160,dirt,rain,2022-05-18,NA,484.2,NA,31670,29437,0.07050836754025892,896,211.97197172490365
13,s161,dust,rain,2022-05-18,NA,239.6,NA,30918,28692,0.07199689501261401,598,213.4500827632556
14,s162,plant,rain,2022-06-30,NA,42.5,NA,26207,15685,0.4014957835692754,232,26.721878696712892
14,s163,plant,rain,2022-06-30,NA,47.2,NA,47720,45598,0.04446772841575859,118,6.794867835161659
14,s164,plant,rain,2022-06-30,NA,73.4,NA,48106,45601,0.05207250654803974,189,8.562858645035393
14,s165,sand,rain,2022-06-30,NA,409.4,NA,2751,2749,7.270083605961468e-4,128,62.13565913781337
14,s166,dirt,rain,2022-06-30,NA,349.2,NA,32429,32343,0.00265194733109254,736,192.7746120945668
14,s167,dust,rain,2022-06-30,NA,294.7,NA,0,0,NA,NA,NA
15,s168,plant,norain,2022-05-15,NA,203.4,NA,7312,3027,0.5860229759299781,113,19.684093501672432
15,s169,plant,norain,2022-05-15,NA,216.9,NA,7507,3374,0.5505528173704543,32,4.54037604486821
15,s170,plant,norain,2022-05-15,NA,195.1,NA,486,113,0.7674897119341564,11,7.462887200467562
15,s171,sand,norain,2022-05-15,NA,336.5,NA,39083,38426,0.0168103779136709,1042,269.59592603736985
15,s172,dirt,norain,2022-05-15,NA,172.8,NA,37842,37700,0.003752444373976,911,261.33447186456186
15,s173,dust,norain,2022-05-15,one hair with some dust,0.6,NA,14876,14460,0.02796450658779242,411,57.23923347263657
16,s174,plant,norain,2022-05-09,NA,115.5,NA,6791,1285,0.8107789721690473,100,36.16903598887258
16,s175,plant,norain,2022-05-09,NA,75.2,NA,24192,371,0.984664351851852,47,26.04370860927152
16,s176,plant,norain,2022-05-09,NA,71.8,x,27932,842,0.969855363024488,66,31.6982920504337
16,s177,dirt,norain,2022-05-09,NA,199.9,NA,37168,36879,0.00777550581145071,624,71.65896117790697
16,s178,dirt,norain,2022-05-09,NA,165.3,NA,34465,32313,0.06244015668069055,922,262.13246560881095
16,s179,dust,norain,2022-05-09,NA,122.8,x,42249,41190,0.02506568202797699,1027,362.338683291745
18,s180,plant,norain,2022-05-02,NA,177.6,NA,18992,702,0.9630370682392586,68,33.75832305795314
18,s181,plant,norain,2022-05-02,NA,74.4,NA,4245,529,0.8753828032979977,38,8.599643526627945
18,s182,plant,norain,2022-05-02,NA,123.7,NA,4229,1099,0.7401276897611728,68,5.026911727369968
18,s183,sand,norain,2022-05-02,NA,163.8,NA,28576,26542,0.07117861142217245,776,83.57085810584616
18,s184,dirt,norain,2022-05-02,NA,144.4,NA,34736,34226,0.01468217411331183,1002,131.01345499916567
18,s185,sanddirtdust,norain,2022-05-02,NA,151.4,NA,46577,45107,0.03156064151834596,1003,347.86136111106833
19,s186,plant,norain,2022-05-02,NA,194.4,NA,10834,1124,0.896252538305335,95,46.98311640014875
19,s187,plant,norain,2022-05-02,NA,182.6,NA,17199,781,0.9545903831618118,57,31.8967212257491
19,s188,plant,norain,2022-05-02,NA,48.7,NA,6561,111,0.9830818472793782,16,9.755344418052257
19,s189,sand,norain,2022-05-02,NA,56.6,NA,44975,39273,0.12678154530294608,408,26.97678137448911
19,s190,dirt,norain,2022-05-02,NA,312,NA,28240,28170,0.00247875354107648,1000,378.8712671424506
19,s191,dust,norain,2022-05-02,NA,94.5,NA,40812,37661,0.07720768401450553,311,25.926166781395388
02,s192,plant,norain,2022-05-03,NA,194.5,NA,7128,324,0.9545454545454546,37,15.2404181184669
02,s193,plant,norain,2022-05-03,NA,189.9,NA,1488,51,0.9657258064516128,13,9.81509433962264
02,s194,plant,norain,2022-05-03,NA,194.5,NA,10594,742,0.929960354917878,77,26.948800783162017
02,s195,sand,norain,2022-05-03,NA,392.7,NA,41549,40149,0.03369515511805338,983,111.0682287930454
02,s196,dirt,norain,2022-05-03,NA,389.7,NA,15931,15393,0.0337706358671772,619,281.0885648428797
02,s197,dust,norain,2022-05-03,almost no dust in the falcon,NA,NA,34719,32681,0.05869984734583369,387,50.66201626282354
20,s198,plant,norain,2022-05-10,NA,231.2,NA,38048,32429,0.14768187552565182,394,16.86958198603853
20,s199,plant,norain,2022-05-10,NA,380.2,x,20161,14933,0.25931253410049104,235,29.128249496545603
20,s200,plant,norain,2022-05-10,NA,121.9,NA,20358,16943,0.1677473229197367,307,26.81062996917105
20,s201,sand,norain,2022-05-10,NA,317.6,NA,58722,56695,0.034518579067470453,1367,225.55166540253947
20,s202,dirt,norain,2022-05-10,NA,415.5,NA,26666,24666,0.07500187504687617,768,227.35653940323408
20,s203,dust,norain,2022-05-10,NA,88.2,x,32069,26040,0.18800087311734073,704,258.8813091862026
21,s204,plant,norain,2022-05-06,NA,190.4,NA,2740,500,0.8175182481751825,33,10.859178177395536
21,s205,plant,norain,2022-05-06,NA,90.4,NA,4898,1000,0.7958350347080441,104,44.654818254889705
21,s206,plant,norain,2022-05-06,NA,76.9,NA,7120,3407,0.5214887640449438,53,4.040632067534343
21,s207,sand,norain,2022-05-06,NA,43.6,NA,45990,23636,0.4860621874320504,506,37.75913819537623
21,s208,dirt,norain,2022-05-06,NA,130.9,NA,32414,31418,0.03072746344172271,960,205.26279624164465
21,s209,dust,norain,2022-05-06,NA,121.2,NA,31355,28879,0.07896667198214001,717,129.39282112084112
23,s210,plant,norain,2022-05-05,NA,121.7,NA,60174,58117,0.03418419915578157,181,8.100035713836144
23,s211,plant,norain,2022-05-05,NA,200.9,NA,34085,10422,0.69423500073346045,129,10.169737428514717
23,s212,plant,norain,2022-05-05,NA,249.2,NA,37089,11679,0.6851087923643129,64,8.134717171369578
23,s213,dirt,norain,2022-05-05,NA,298.2,NA,26901,26170,0.02717371101446043,664,121.56558520627505
23,s214,dirt,norain,2022-05-05,NA,99.2,NA,39880,39853,6.770310932798395e-4,710,178.2514114950754
24,s215,plant,norain,2022-05-17,NA,117.5,NA,11542,703,0.9390920117830532,45,8.51834807039316
24,s216,plant,norain,2022-05-17,NA,217,NA,1789,532,0.7026271660145332,54,21.970501474926255
24,s217,plant,norain,2022-05-17,NA,208.2,NA,511,201,0.6066536203522505,12,7.449935460077448
24,s218,dirt/dust,norain,2022-05-17,NA,86.2,NA,39217,37452,0.04500599229925797,867,284.0820546471993
24,s219,dirt,norain,2022-05-17,NA,202.5,NA,13527,13499,0.00206993420566274,498,196.1793996720708
24,s220,dust,norain,2022-05-17,almost nothing in the falcon,1.5,NA,3263,3209,0.0165491878639289,181,49.573146485531495
25,s221,plant,norain,2022-05-04,NA,97.3,NA,10620,8119,0.23549905838041432,97,8.146332707140685
25,s222,plant,norain,2022-05-04,NA,95.2,x,12733,2231,0.82478598916202,63,13.590249696241589
25,s223,plant,norain,2022-05-04,NA,119.9,NA,15118,11810,0.21881201217092208,141,19.73934784171623
25,s224,dirt,norain,2022-05-04,NA,117.2,NA,38774,38441,0.00858822922576984,815,88.27317291747848
25,s225,dust,norain,2022-05-04,NA,123.5,NA,46660,45107,0.03328332618945563,483,33.594132743918514
25,s226,dust,norain,2022-05-04,NA,102.2,x,42863,42394,0.01094183794881366,566,100.0019717164739
28,s227,plant,norain,2022-05-02,NA,154.2,NA,30698,499,0.9837448693725976,29,13.467521228838772
28,s228,plant,norain,2022-05-02,NA,36.6,NA,19420,6867,0.6463954685890834,171,15.307122845047958
28,s229,plant,norain,2022-05-02,NA,180,NA,18118,533,0.9705817419141184,49,30.2318825156965
28,s230,sand,rain,2022-05-02,NA,331.8,NA,41272,40753,0.01257511145570847,1164,189.8519278954383
28,s231,dirt,norain,2022-05-02,NA,191.6,NA,38368,38065,0.00789720600500417,1011,187.76454081120255
28,s232,dust,norain,2022-05-02,NA,42.3,NA,34324,33411,0.02659946393194266,524,138.70082854335138
29,s233,plant,norain,2022-05-11,NA,78.6,x,20618,2142,0.8961101949752643,98,34.2712320172097
29,s234,plant,norain,2022-05-11,NA,93.6,NA,32161,29495,0.08289543235595909,588,36.03309106384917
29,s235,plant,norain,2022-05-11,dry and broken into little pieces,50,NA,32840,393,0.988032886723508,38,16.55224520415818
29,s236,sand,norain,2022-05-11,NA,156.5,NA,48193,46630,0.03243209594754425,1201,143.1566361105288
29,s237,dirt,norain,2022-05-11,NA,88.9,NA,29840,28573,0.0424597855227882,893,316.1060757826315
29,s238,dust,norain,2022-05-11,NA,158.1,x,38362,37233,0.02943016526771284,641,111.28584089188818
03,s239,plant,norain,2022-05-09,NA,151.8,NA,1684,275,0.8366983372921615,34,18.053234662210553
03,s240,plant,norain,2022-05-09,NA,258.6,NA,5047,2845,0.4362987913612047,42,3.7211256209327614
03,s241,plant,norain,2022-05-09,NA,204,NA,1412,209,0.8519830028328612,28,18.177694548481064
03,s242,sand,norain,2022-05-09,NA,395.8,NA,34553,34421,0.00382021821549503,631,83.69174766145537
03,s243,dirt,norain,2022-05-09,NA,357.7,NA,50259,50110,0.00296464314849081,1051,281.6750035784107
03,s244,dust,norain,2022-05-09,NA,51.3,NA,43287,42404,0.02039873403100238,522,51.61930457762753
17,s245,plant,norain,2022-05-17,NA,358.4,x,1726,458,0.7346465816917729,37,22.58927417617919
17,s246,plant,norain,2022-05-17,NA,367.4,NA,3873,875,0.7740769429382908,50,18.955336584882772
17,s247,plant,norain,2022-05-17,NA,315.5,NA,9243,7835,0.152331494103646,97,6.948913723281724
17,s248,dirt,norain,2022-05-17,NA,306.2,NA,24559,24046,0.0208884726576815,551,133.88156574321957
17,s249,dirt,norain,2022-05-17,NA,253.5,NA,38468,37932,0.01393365914526359,1015,308.57543006016084
17,s250,dust,norain,2022-05-17,NA,183.8,x,44981,41761,0.07158578066294657,578,39.94592310221198
30,s251,plant,norain,2022-05-18,NA,106.5,NA,28922,1714,0.9407371551068392,103,14.243306926276798
30,s252,plant,norain,2022-05-18,NA,85.3,NA,8075,447,0.9446439628482972,45,25.15535691804104
30,s253,plant,norain,2022-05-18,leaf broken into pieces,22.1,NA,39208,149,0.9961997551520098,24,17.976518218623482
30,s254,dust,norain,2022-05-18,NA,78.6,NA,43408,38672,0.10910431256911168,773,291.23371784795404
30,s255,dust,norain,2022-05-18,NA,155.9,NA,41282,40043,0.030013080761591,902,255.11572093289664
30,s256,dust,norain,2022-05-18,NA,134.3,NA,50280,49065,0.02416467780429594,747,126.78966310318629
32,s257,plant,norain,2022-05-10,dry and very small,36.3,NA,42636,41,0.999038371329393,8,3.5690021231422504
32,s258,plant,norain,2022-05-10,small,48.5,NA,27943,431,0.984575743477794,40,17.61936830124253
32,s259,plant,norain,2022-05-10,very small,18.6,NA,34353,82,0.9976130177859284,12,6.391634980988592
32,s260,sand,norain,2022-05-10,NA,250.6,NA,27500,24868,0.09570909090909092,879,315.65566326655613
32,s261,dirt,norain,2022-05-10,NA,272.6,NA,30,30,0,8,6.521739130434782
32,s262,dust,norain,2022-05-10,NA,172.2,NA,40599,37513,0.07601172442671002,885,232.20537349794012
33,s263,plant,rain,2022-05-05,NA,62.5,NA,4773,704,0.8525036664571548,65,16.32141210564447
33,s264,plant,rain,2022-05-05,NA,78.7,NA,691,16,0.9768451519536904,4,3.657142857142857
33,s265,plant,rain,2022-05-05,NA,68.2,NA,6310,216,0.9657686212361332,20,11.253256150506513
33,s266,dirt,rain,2022-05-05,NA,125.2,NA,51132,47072,0.07940233122115309,957,155.3828984457595
33,s267,dirt,rain,2022-05-05,NA,282.2,NA,18228,17856,0.02040816326530612,526,166.34445194566152
