count,sample_id,taxon_id
5,s138,t3
5,s139,t3
13,s141,t3
123,s143,t3
15,s145,t3
16,s146,t3
8,s147,t3
19,s148,t3
44,s150,t3
44,s151,t3
65,s152,t3
61,s153,t3
20,s154,t3
18,s155,t3
24,s156,t3
16,s157,t3
9,s158,t3
8,s159,t3
8,s160,t3
154,s161,t3
380,s162,t3
6737,s163,t3
12093,s164,t3
146,s172,t3
12,s173,t3
27,s174,t3
6,s175,t3
18,s176,t3
68,s177,t3
35,s179,t3
9,s180,t3
12,s182,t3
13,s183,t3
112,s184,t3
48,s185,t3
11,s186,t3
15,s187,t3
88,s189,t3
147,s191,t3
57,s192,t3
43,s194,t3
25,s195,t3
202,s197,t3
327,s198,t3
50,s199,t3
15,s200,t3
15,s201,t3
106,s203,t3
11,s206,t3
116,s207,t3
92,s209,t3
4147,s210,t3
23,s211,t3
298,s212,t3
63,s213,t3
20,s214,t3
15,s215,t3
118,s218,t3
19,s223,t3
223,s224,t3
6177,s225,t3
1357,s226,t3
8,s231,t3
41,s232,t3
21,s233,t3
51,s234,t3
8,s236,t3
51,s238,t3
5,s239,t3
15,s241,t3
34,s244,t3
46,s250,t3
9,s251,t3
13,s252,t3
256,s254,t3
91,s255,t3
120,s256,t3
7,s260,t3
43,s262,t3
10,s263,t3
300,s268,t3
17,s269,t3
10,s270,t3
30,s272,t3
109,s279,t3
481,s280,t3
181,s282,t3
29,s285,t3
70,s286,t3
35,s287,t3
19,s288,t3
40,s289,t3
64,s292,t3
16,s294,t3
27,s295,t3
62,s296,t3
231,s297,t3
183,s298,t3
16,s299,t3
4,s300,t3
40,s301,t3
5,s303,t3
60,s304,t3
9559,s305,t3
101,s306,t3
1740,s307,t3
23,s308,t3
30,s309,t3
198,s310,t3
252,s311,t3
122,s312,t3
236,s313,t3
60,s315,t3
129,s316,t3
40,s317,t3
12,s319,t3
27,s320,t3
195,s321,t3
110,s322,t3
57,s138,t4
69,s139,t4
69,s140,t4
5388,s141,t4
1258,s142,t4
320,s143,t4
26,s145,t4
58,s146,t4
1465,s147,t4
43,s148,t4
128,s150,t4
505,s151,t4
309,s152,t4
349,s153,t4
1350,s154,t4
140,s155,t4
65,s156,t4
44,s157,t4
54,s158,t4
101,s159,t4
1264,s160,t4
169,s161,t4
381,s162,t4
117,s164,t4
122,s165,t4
568,s166,t4
33,s168,t4
1066,s171,t4
685,s172,t4
1492,s177,t4
650,s178,t4
315,s179,t4
16,s180,t4
564,s183,t4
786,s184,t4
332,s190,t4
39,s192,t4
46,s194,t4
2183,s195,t4
178,s196,t4
7021,s198,t4
2099,s199,t4
2699,s200,t4
1771,s201,t4
785,s202,t4
288,s203,t4
74,s204,t4
63,s205,t4
81,s206,t4
22,s207,t4
667,s208,t4
68,s209,t4
1940,s211,t4
2278,s212,t4
1526,s213,t4
224,s214,t4
30,s215,t4
17,s218,t4
372,s219,t4
345,s221,t4
165,s222,t4
1112,s223,t4
987,s224,t4
116,s226,t4
93,s227,t4
340,s228,t4
34,s229,t4
1395,s230,t4
1860,s231,t4
143,s233,t4
646,s234,t4
47,s235,t4
3171,s236,t4
158,s237,t4
549,s238,t4
1634,s242,t4
690,s243,t4
91,s244,t4
33,s246,t4
51,s247,t4
87,s248,t4
525,s250,t4
31,s251,t4
64,s254,t4
154,s255,t4
30,s258,t4
135,s260,t4
310,s262,t4
14,s263,t4
399,s266,t4
261,s267,t4
16,s268,t4
44,s269,t4
623,s270,t4
40,s271,t4
3762,s272,t4
118,s273,t4
1709,s274,t4
237,s276,t4
36,s277,t4
844,s278,t4
3143,s279,t4
37,s281,t4
684,s282,t4
1324,s284,t4
1053,s285,t4
134,s286,t4
117,s287,t4
85,s288,t4
129,s289,t4
279,s290,t4
1782,s291,t4
35,s292,t4
25,s293,t4
1030,s294,t4
129,s295,t4
317,s296,t4
99,s297,t4
107,s298,t4
51,s299,t4
153,s300,t4
172,s301,t4
2031,s302,t4
2645,s303,t4
154,s305,t4
17,s306,t4
212,s307,t4
170,s308,t4
266,s309,t4
24,s310,t4
304,s311,t4
202,s312,t4
669,s313,t4
4415,s314,t4
690,s315,t4
184,s316,t4
90,s317,t4
114,s320,t4
52,s322,t4
125,s161,t5
1088,s162,t5
784,s163,t5
581,s164,t5
262,s172,t5
25,s177,t5
30,s183,t5
51,s184,t5
82,s191,t5
3,s193,t5
30,s196,t5
687,s198,t5
17,s199,t5
38,s204,t5
16,s209,t5
454,s210,t5
66,s211,t5
37,s212,t5
22,s218,t5
50,s224,t5
71,s225,t5
21,s228,t5
43,s238,t5
103,s250,t5
76,s254,t5
24,s256,t5
11,s262,t5
7,s263,t5
14,s286,t5
14,s287,t5
36,s297,t5
26,s299,t5
6,s300,t5
25,s301,t5
34,s305,t5
20,s306,t5
13,s312,t5
32,s313,t5
76,s315,t5
23,s143,t7
21,s152,t7
24,s161,t7
86,s162,t7
828,s163,t7
393,s164,t7
21,s166,t7
12,s173,t7
24,s191,t7
162,s197,t7
106,s198,t7
23,s203,t7
155,s210,t7
23,s218,t7
34,s224,t7
246,s225,t7
10,s227,t7
34,s254,t7
18,s297,t7
16,s298,t7
14,s301,t7
20,s302,t7
43,s305,t7
24,s307,t7
14,s309,t7
21,s322,t7
15,s138,t8
44,s141,t8
33,s142,t8
41,s143,t8
4,s145,t8
57,s147,t8
18,s150,t8
20,s151,t8
39,s152,t8
27,s153,t8
86,s154,t8
109,s155,t8
7,s156,t8
58,s157,t8
10,s159,t8
80,s161,t8
1503,s162,t8
43,s163,t8
72,s164,t8
14,s168,t8
8,s169,t8
13,s177,t8
7,s180,t8
25,s182,t8
62,s183,t8
70,s185,t8
9,s186,t8
25,s189,t8
55,s191,t8
9,s192,t8
18,s194,t8
48,s197,t8
287,s198,t8
213,s199,t8
112,s200,t8
11,s201,t8
3,s205,t8
10,s207,t8
22,s209,t8
4534,s210,t8
110,s211,t8
106,s212,t8
27,s213,t8
10,s214,t8
16,s218,t8
46,s221,t8
8,s222,t8
86,s223,t8
211,s224,t8
1656,s225,t8
1790,s226,t8
110,s228,t8
22,s229,t8
44,s230,t8
30,s231,t8
16,s232,t8
14,s233,t8
25,s234,t8
16,s236,t8
8,s237,t8
62,s238,t8
9,s242,t8
73,s243,t8
92,s244,t8
25,s250,t8
5,s251,t8
187,s254,t8
24,s255,t8
26,s256,t8
10,s260,t8
34,s262,t8
159,s268,t8
9,s269,t8
14,s271,t8
79,s272,t8
8,s274,t8
12,s276,t8
7,s277,t8
15,s278,t8
705,s279,t8
98,s280,t8
311,s282,t8
53,s285,t8
103,s286,t8
14,s287,t8
4,s289,t8
15,s295,t8
39,s296,t8
141,s297,t8
74,s298,t8
10,s299,t8
277,s301,t8
26,s302,t8
10,s304,t8
140,s305,t8
6,s306,t8
95,s307,t8
76,s310,t8
664,s311,t8
334,s312,t8
721,s313,t8
21,s314,t8
12,s315,t8
28,s316,t8
12,s317,t8
51,s320,t8
759,s321,t8
113,s322,t8
5,s138,t9
33,s141,t9
123,s143,t9
10,s146,t9
60,s162,t9
545,s163,t9
616,s164,t9
678,s197,t9
47,s198,t9
56,s203,t9
350,s210,t9
717,s225,t9
826,s226,t9
93,s234,t9
583,s238,t9
117,s244,t9
77,s255,t9
127,s268,t9
25,s269,t9
39,s279,t9
97,s280,t9
198,s282,t9
114,s292,t9
133,s298,t9
125,s305,t9
13,s307,t9
32,s312,t9
298,s321,t9
9,s146,t11
63,s157,t11
124,s161,t11
115,s162,t11
3964,s163,t11
8820,s164,t11
59,s184,t11
133,s189,t11
90,s218,t11
361,s224,t11
2482,s225,t11
1049,s226,t11
14,s233,t11
88,s250,t11
125,s254,t11
43,s255,t11
98,s256,t11
12,s263,t11
62,s272,t11
188,s279,t11
94,s280,t11
322,s282,t11
142,s285,t11
265,s286,t11
387,s297,t11
470,s298,t11
90,s310,t11
76,s314,t11
203,s321,t11
54,s322,t11
26,s143,t12
77,s161,t12
27,s162,t12
227,s163,t12
156,s164,t12
42,s177,t12
10,s180,t12
123,s191,t12
198,s198,t12
47,s200,t12
27,s203,t12
18319,s210,t12
49,s214,t12
37,s224,t12
60,s243,t12
281,s250,t12
5,s251,t12
136,s254,t12
93,s269,t12
120,s285,t12
34,s288,t12
62,s296,t12
28,s297,t12
118,s298,t12
25,s299,t12
21,s305,t12
317,s307,t12
41,s311,t12
33,s315,t12
40,s316,t12
3,s319,t12
355,s141,t13
151,s142,t13
125,s143,t13
304,s147,t13
317,s153,t13
187,s154,t13
254,s155,t13
33,s156,t13
12,s159,t13
223,s160,t13
701,s161,t13
112,s166,t13
124,s171,t13
39,s173,t13
677,s177,t13
277,s178,t13
360,s179,t13
18,s180,t13
17,s182,t13
450,s183,t13
1422,s184,t13
575,s185,t13
53,s190,t13
127,s191,t13
162,s195,t13
52,s197,t13
114,s198,t13
40,s199,t13
106,s200,t13
170,s201,t13
177,s202,t13
118,s203,t13
35,s207,t13
48,s208,t13
519,s209,t13
139,s213,t13
152,s214,t13
344,s218,t13
28,s219,t13
1417,s224,t13
536,s225,t13
537,s226,t13
409,s230,t13
809,s231,t13
314,s232,t13
83,s234,t13
265,s236,t13
53,s237,t13
269,s238,t13
288,s242,t13
559,s243,t13
177,s244,t13
70,s248,t13
78,s249,t13
56,s250,t13
352,s254,t13
343,s255,t13
143,s256,t13
134,s260,t13
160,s262,t13
101,s267,t13
595,s268,t13
422,s272,t13
109,s274,t13
16,s275,t13
28,s278,t13
2148,s279,t13
272,s280,t13
130,s285,t13
380,s286,t13
61,s290,t13
187,s291,t13
90,s292,t13
1188,s296,t13
2124,s297,t13
480,s298,t13
112,s302,t13
90,s303,t13
47,s304,t13
102,s308,t13
488,s309,t13
655,s310,t13
87,s311,t13
58,s313,t13
1193,s314,t13
594,s315,t13
342,s316,t13
61,s317,t13
262,s320,t13
1210,s321,t13
118,s322,t13
5,s139,t14
15,s140,t14
396,s143,t14
5,s150,t14
7,s151,t14
11,s152,t14
30,s153,t14
204,s154,t14
188,s155,t14
40,s156,t14
20,s158,t14
166,s161,t14
65,s164,t14
33,s166,t14
64,s168,t14
12,s169,t14
1002,s173,t14
13,s176,t14
211,s177,t14
30,s178,t14
26,s179,t14
35,s180,t14
12,s181,t14
11,s182,t14
40,s183,t14
7,s184,t14
226,s185,t14
29,s186,t14
47,s187,t14
245,s189,t14
180,s191,t14
3,s193,t14
2,s194,t14
126,s195,t14
347,s197,t14
3,s200,t14
247,s203,t14
3,s205,t14
1629,s207,t14
1308,s209,t14
4,s211,t14
6,s215,t14
492,s218,t14
249,s220,t14
39,s221,t14
14,s222,t14
94,s223,t14
144,s224,t14
38,s225,t14
214,s226,t14
8,s228,t14
9,s229,t14
21,s230,t14
51,s231,t14
74,s232,t14
95,s233,t14
934,s234,t14
25,s235,t14
27,s236,t14
2108,s238,t14
336,s244,t14
7,s245,t14
7,s246,t14
21,s247,t14
22,s248,t14
85,s250,t14
12,s251,t14
5,s252,t14
211,s254,t14
625,s255,t14
625,s256,t14
13,s258,t14
788,s262,t14
9,s263,t14
6,s264,t14
9,s265,t14
64,s267,t14
1686,s268,t14
30,s269,t14
37,s270,t14
97,s271,t14
50,s272,t14
42,s274,t14
4,s275,t14
7,s276,t14
5,s277,t14
507,s279,t14
324,s280,t14
14,s282,t14
31,s285,t14
304,s286,t14
1767,s292,t14
9,s293,t14
26,s294,t14
30,s295,t14
32,s296,t14
317,s297,t14
779,s298,t14
4,s302,t14
312,s304,t14
7,s305,t14
5,s306,t14
37,s308,t14
52,s309,t14
824,s310,t14
24,s311,t14
30,s313,t14
23,s314,t14
2,s315,t14
162,s316,t14
506,s317,t14
163,s318,t14
249,s319,t14
1467,s320,t14
676,s321,t14
877,s322,t14
38,s140,t16
1672,s141,t16
164,s142,t16
1419,s147,t16
833,s154,t16
501,s161,t16
352,s166,t16
73,s168,t16
134,s171,t16
1850,s177,t16
149,s178,t16
171,s179,t16
1006,s195,t16
133,s198,t16
286,s199,t16
122,s200,t16
748,s201,t16
88,s202,t16
152,s203,t16
19,s204,t16
126,s210,t16
1518,s211,t16
3043,s212,t16
840,s213,t16
991,s214,t16
37,s215,t16
33,s221,t16
105,s223,t16
31,s227,t16
28,s228,t16
483,s230,t16
210,s231,t16
624,s232,t16
317,s234,t16
444,s236,t16
90,s237,t16
136,s238,t16
988,s242,t16
333,s243,t16
27,s247,t16
63,s250,t16
15,s253,t16
96,s254,t16
94,s255,t16
40,s256,t16
21,s259,t16
434,s262,t16
43,s266,t16
58,s269,t16
28,s270,t16
33,s273,t16
500,s274,t16
32,s276,t16
32,s278,t16
31,s281,t16
150,s282,t16
82,s284,t16
41,s293,t16
25,s294,t16
274,s296,t16
232,s297,t16
62,s298,t16
102,s302,t16
141,s303,t16
64,s305,t16
52,s307,t16
2119,s308,t16
360,s309,t16
84,s313,t16
301,s314,t16
160,s316,t16
63,s317,t16
99,s141,t17
91,s142,t17
81,s143,t17
6,s145,t17
212,s147,t17
123,s154,t17
352,s155,t17
89,s157,t17
91,s160,t17
112,s161,t17
56,s164,t17
56,s166,t17
263,s171,t17
258,s172,t17
84,s173,t17
21,s174,t17
228,s177,t17
83,s178,t17
85,s179,t17
76,s183,t17
177,s184,t17
400,s185,t17
26,s189,t17
39,s195,t17
194,s198,t17
436,s201,t17
230,s202,t17
325,s203,t17
163,s209,t17
12,s211,t17
58,s213,t17
32,s221,t17
19,s222,t17
28,s223,t17
2951,s224,t17
1876,s225,t17
1453,s226,t17
68,s230,t17
418,s231,t17
169,s232,t17
80,s234,t17
188,s236,t17
343,s238,t17
96,s242,t17
135,s244,t17
25,s247,t17
108,s250,t17
309,s254,t17
199,s255,t17
115,s256,t17
22,s258,t17
110,s260,t17
188,s262,t17
234,s268,t17
27,s269,t17
430,s272,t17
157,s274,t17
1366,s279,t17
110,s280,t17
112,s285,t17
289,s286,t17
92,s287,t17
23,s288,t17
24,s289,t17
90,s291,t17
516,s292,t17
21,s293,t17
33,s295,t17
189,s296,t17
1278,s297,t17
1118,s298,t17
105,s302,t17
84,s305,t17
993,s309,t17
192,s310,t17
51,s311,t17
33,s312,t17
1585,s314,t17
444,s315,t17
120,s316,t17
71,s320,t17
646,s321,t17
94,s322,t17
52,s161,t19
469,s162,t19
23,s179,t19
107,s191,t19
10,s208,t19
5,s218,t19
49,s224,t19
15,s228,t19
29,s234,t19
53,s238,t19
3294,s250,t19
87,s254,t19
26,s255,t19
10,s296,t19
69,s298,t19
40,s311,t19
10,s312,t19
28,s313,t19
10,s314,t19
21,s315,t19
12,s316,t19
27,s138,t20
22,s139,t20
94,s141,t20
26,s143,t20
48,s150,t20
104,s151,t20
112,s152,t20
20,s157,t20
31,s159,t20
1301,s162,t20
755,s163,t20
1344,s164,t20
119,s174,t20
34,s179,t20
66,s191,t20
17,s194,t20
21,s195,t20
120,s198,t20
35,s199,t20
22,s200,t20
50,s201,t20
9,s204,t20
30,s206,t20
956,s210,t20
73,s211,t20
16,s218,t20
18,s221,t20
8,s222,t20
34,s223,t20
35,s224,t20
110,s225,t20
143,s226,t20
35,s228,t20
16,s229,t20
710,s247,t20
46,s250,t20
132,s254,t20
40,s256,t20
11,s265,t20
22,s269,t20
33,s271,t20
36,s272,t20
45,s279,t20
328,s282,t20
75,s285,t20
24,s289,t20
17,s294,t20
34,s296,t20
44,s298,t20
39,s301,t20
126,s302,t20
179,s303,t20
710,s305,t20
33,s306,t20
693,s307,t20
233,s311,t20
105,s312,t20
176,s313,t20
24,s317,t20
43,s138,t21
125,s139,t21
51,s140,t21
147,s141,t21
718,s143,t21
22,s150,t21
48,s151,t21
46,s152,t21
10,s153,t21
64,s154,t21
38,s155,t21
52,s156,t21
14,s157,t21
25,s158,t21
154,s164,t21
72,s169,t21
62,s173,t21
29,s174,t21
23,s175,t21
86,s176,t21
526,s177,t21
15,s178,t21
43,s179,t21
33,s180,t21
20,s185,t21
24,s186,t21
101,s189,t21
43,s191,t21
23,s195,t21
84,s197,t21
42,s201,t21
61,s203,t21
160,s207,t21
100,s209,t21
66,s211,t21
94,s212,t21
117,s213,t21
38,s216,t21
96,s218,t21
174,s221,t21
47,s222,t21
601,s223,t21
77,s224,t21
173,s225,t21
253,s226,t21
34,s227,t21
21,s229,t21
32,s232,t21
101,s233,t21
520,s234,t21
65,s236,t21
221,s238,t21
30,s242,t21
80,s243,t21
149,s244,t21
40,s247,t21
20,s250,t21
263,s254,t21
395,s255,t21
94,s256,t21
57,s262,t21
33,s265,t21
74,s268,t21
40,s269,t21
228,s270,t21
47,s271,t21
4192,s272,t21
15,s273,t21
444,s274,t21
269,s279,t21
95,s280,t21
481,s282,t21
153,s285,t21
415,s286,t21
409,s292,t21
46,s294,t21
61,s295,t21
247,s297,t21
220,s298,t21
43,s304,t21
24,s305,t21
22,s308,t21
40,s309,t21
191,s310,t21
