count,sample_id,taxon_id
5348,s1,t21307
5435,s2,t21307
6378,s3,t21307
4159,s4,t21307
1350,s5,t21307
1896,s6,t21307
2273,s7,t21307
4170,s8,t21307
1687,s9,t21307
5287,s10,t21307
10586,s11,t21307
2769,s12,t21307
1042,s13,t21307
9458,s14,t21307
5000,s15,t21307
5477,s16,t21307
10450,s17,t21307
563,s18,t21307
2200,s19,t21307
9346,s20,t21307
1654,s21,t21307
464,s22,t21307
3274,s23,t21307
3364,s24,t21307
3689,s25,t21307
215,s26,t21307
2343,s27,t21307
5985,s28,t21307
629,s29,t21307
4086,s30,t21307
14237,s31,t21307
7707,s32,t21307
581,s33,t21307
2401,s34,t21307
3197,s35,t21307
727,s36,t21307
887,s37,t21307
921,s38,t21307
3734,s39,t21307
345,s40,t21307
729,s41,t21307
1006,s42,t21307
533,s43,t21307
434,s44,t21307
2570,s45,t21307
3312,s46,t21307
2858,s47,t21307
4651,s48,t21307
233,s49,t21307
1558,s50,t21307
2521,s51,t21307
563,s52,t21307
1331,s53,t21307
590,s54,t21307
5025,s55,t21307
3878,s56,t21307
4135,s57,t21307
4178,s58,t21307
3333,s59,t21307
414,s60,t21307
5292,s61,t21307
522,s62,t21307
1914,s63,t21307
2480,s64,t21307
4958,s65,t21307
11994,s66,t21307
5782,s67,t21307
13662,s68,t21307
7236,s69,t21307
4622,s70,t21307
3563,s71,t21307
2306,s72,t21307
2626,s73,t21307
277,s75,t21307
6648,s76,t21307
937,s77,t21307
1713,s78,t21307
567,s79,t21307
442,s80,t21307
807,s81,t21307
4564,s82,t21307
4775,s83,t21307
5260,s84,t21307
1053,s85,t21307
1572,s86,t21307
1690,s87,t21307
312,s88,t21307
660,s89,t21307
2049,s90,t21307
745,s91,t21307
3126,s92,t21307
643,s93,t21307
2159,s94,t21307
768,s95,t21307
5096,s96,t21307
69,s97,t21307
849,s98,t21307
704,s99,t21307
1010,s100,t21307
397,s101,t21307
1285,s102,t21307
1106,s103,t21307
210,s104,t21307
2465,s105,t21307
168,s106,t21307
3884,s107,t21307
1604,s108,t21307
194,s109,t21307
5813,s110,t21307
132,s111,t21307
190,s112,t21307
53,s113,t21307
24,s114,t21307
2350,s115,t21307
1968,s116,t21307
1391,s118,t21307
1316,s119,t21307
1191,s120,t21307
2731,s122,t21307
6321,s123,t21307
814,s124,t21307
1367,s125,t21307
194,s126,t21307
1483,s127,t21307
430,s128,t21307
8120,s129,t21307
1081,s130,t21307
3969,s131,t21307
1395,s132,t21307
734,s133,t21307
4751,s135,t21307
370,s136,t21307
1166,s137,t21307
4769,s138,t21307
3248,s139,t21307
72,s140,t21307
1698,s141,t21307
1005,s142,t21307
1071,s143,t21307
4365,s144,t21307
5370,s145,t21307
2361,s146,t21307
1215,s147,t21307
527,s148,t21307
685,s149,t21307
449,s150,t21307
279,s151,t21307
172,s152,t21307
41,s153,t21307
859,s154,t21307
1667,s155,t21307
455,s156,t21307
6513,s157,t21307
2441,s158,t21307
2936,s159,t21307
4726,s160,t21307
188,s161,t21307
6282,s162,t21307
152,s163,t21307
127,s164,t21307
2088,s165,t21307
837,s166,t21307
489,s167,t21307
681,s168,t21307
1524,s169,t21307
5390,s170,t21307
1220,s171,t21307
5410,s172,t21307
1183,s173,t21307
418,s174,t21307
218,s175,t21307
4200,s176,t21307
2656,s177,t21307
9404,s178,t21307
2874,s179,t21307
191,s180,t21307
3544,s181,t21307
881,s182,t21307
4373,s183,t21307
3464,s184,t21307
120,s185,t21307
530,s186,t21307
4504,s187,t21307
1020,s188,t21307
677,s189,t21307
1087,s190,t21307
1892,s191,t21307
7671,s192,t21307
2729,s193,t21307
4766,s194,t21307
397,s195,t21307
522,s196,t21307
5641,s197,t21307
2519,s198,t21307
1672,s199,t21307
1125,s200,t21307
343,s201,t21307
17,s202,t21307
480,s203,t21307
705,s204,t21307
348,s205,t21307
1876,s206,t21307
611,s207,t21307
330,s208,t21307
4576,s209,t21307
2598,s210,t21307
2309,s211,t21307
3722,s212,t21307
